ref,mpn,manufacturer,description,package,body_mm,pitch_mm,datasheet_pins,footprint_pads,footprint,courtyard_mm,datasheet,archived_pdf,usd,availability,agrees
U1,NRF54L15-QFAA-R,Nordic Semiconductor,"Cortex-M33 wireless SoC, Bluetooth LE, 1.5 MB NVM, 256 kB RAM",QFN48,6.0 x 6.0 x 0.85,0.4,48,49,QFN-48-1EP_6x6mm_P0.4mm_EP4.6x4.6mm,7.54 x 7.20,https://www.nordicsemi.com/Products/nRF54L15,nRF54L15_nordic.pdf,2.72,"LCSC C42458750, $3.99/1, $2.72/100, out of stock 2026-08-30",yes
U2,A121-001-T&R,Acconeer,"60 GHz pulsed coherent radar, antenna in package, SPI",fcCSP50,5.2 x 5.5 x 0.88,0.5,50,50,Acconeer_A121_fcCSP50,5.70 x 6.00,https://developer.acconeer.com/download/a121-datasheet,A121_acconeer.pdf,,distributor stock not verified,yes
U6,A121-001-T&R,Acconeer,"60 GHz radar, second viewpoint at the other end of the insert",fcCSP50,5.2 x 5.5 x 0.88,0.5,50,50,Acconeer_A121_fcCSP50,5.70 x 6.00,https://developer.acconeer.com/download/a121-datasheet,A121_acconeer.pdf,,distributor stock not verified,yes
U3,NPM1300-QEAA-R7,Nordic Semiconductor,"PMIC: 800 mA charger with NTC/JEITA, fuel gauge, 2 bucks, 2 LDOs",QFN32,5.0 x 5.0 x 0.9,0.5,32,33,QFN-32-1EP_5x5mm_P0.5mm_EP3.45x3.45mm,6.60 x 6.26,https://download.mikroe.com/documents/datasheets/nPM1300_datasheet.pdf,nPM1300_nordic.pdf,1.66,"LCSC C7501206, $1.75/1, $1.66/100, out of stock 2026-08-30",yes
U4,BMI270,Bosch Sensortec,"6-axis IMU, 14-pin LGA, I2C",LGA-14,2.5 x 3.0 x 0.83,0.5,14,14,Bosch_LGA-14_3x2.5mm_P0.5mm,3.81 x 3.31,https://www.bosch-sensortec.com/media/boschsensortec/downloads/datasheets/bst-bmi270-ds000.pdf,BMI270_bosch.pdf,,"commodity, widely stocked",yes
U5,DRV5032FBDBZR,Texas Instruments,"Omnipolar digital Hall latch, 1.65-5.5 V, ~540 nA average",SOT-23-3,2.92 x 2.37 x 1.12,0.95,3,3,SOT-23,3.86 x 3.40,https://www.ti.com/lit/ds/symlink/drv5032.pdf,DRV5032_ti.pdf,,"commodity, widely stocked",yes
U7,CD74HC4067SM96,Texas Instruments,"16:1 analog multiplexer, the FSR column selector",SSOP-24,5.3 x 8.2 x 2.0,0.65,24,24,SSOP-24_5.3x8.2mm_P0.65mm,9.40 x 8.86,https://www.ti.com/lit/ds/symlink/cd74hc4067.pdf,CD74HC4067_ti.pdf,,commodity,yes
U8,TLV9064IPWR,Texas Instruments,"Quad RRIO op-amp, 1.8-5.5 V — four of the six taxel amplifiers",TSSOP-14,4.4 x 5.0 x 1.2,0.65,14,14,TSSOP-14_4.4x5mm_P0.65mm,7.70 x 5.63,https://www.ti.com/lit/ds/symlink/tlv9064.pdf,,,commodity,yes
U9,TLV9064IPWR,Texas Instruments,Quad RRIO op-amp — the remaining two amplifiers,TSSOP-14,4.4 x 5.0 x 1.2,0.65,14,14,TSSOP-14_4.4x5mm_P0.65mm,7.70 x 5.63,https://www.ti.com/lit/ds/symlink/tlv9064.pdf,,,commodity,yes
Y1,ABM8-32.000MHZ-B2-T,Abracon,"32 MHz crystal, Cl = 8 pF — the SoC's HFXO",SMD-2016-4,2.0 x 1.6 x 0.5,,4,4,Crystal_SMD_2016-4Pin_2.0x1.6mm,3.00 x 2.60,https://abracon.com/Resonators/ABM8.pdf,,,commodity,yes
Y2,ABM8-24.000MHZ-B2-T,Abracon,24 MHz crystal for the first radar,SMD-2016-4,2.0 x 1.6 x 0.5,,4,4,Crystal_SMD_2016-4Pin_2.0x1.6mm,3.00 x 2.60,https://abracon.com/Resonators/ABM8.pdf,,,commodity,yes
Y3,ABM8-24.000MHZ-B2-T,Abracon,24 MHz crystal for the second radar,SMD-2016-4,2.0 x 1.6 x 0.5,,4,4,Crystal_SMD_2016-4Pin_2.0x1.6mm,3.00 x 2.60,https://abracon.com/Resonators/ABM8.pdf,,,commodity,yes
J1,FH12-10S-0.5SH(55),Hirose,"FFC connector, 10 way, 0.5 mm — the optics module",FH12-10S,9.4 x 4.3 x 1.0,0.5,10,10,Hirose_FH12-10S-0.5SH_1x10-1MP_P0.50mm_Horizontal,11.12 x 7.90,https://www.hirose.com/product/p/CL0580-1163-2-55,,,commodity,yes
J4,FH12-24S-0.5SH(55),Hirose,"FFC connector, 24 way — the taxel matrix",FH12-24S,16.4 x 4.3 x 1.0,0.5,24,24,Hirose_FH12-24S-0.5SH_1x24-1MP_P0.50mm_Horizontal,18.10 x 7.90,https://www.hirose.com/product/p/CL0580-1173-6-55,,,commodity,yes
J2,SM02B-SRSS-TB(LF)(SN),JST,SH series 2-pin 1.0 mm header — the cell,JST-SH-02,4.25 x 2.9 x 2.9,1.0,2,2,JST_SH_SM02B-SRSS-TB_1x02-1MP_P1.00mm_Horizontal,5.80 x 6.56,https://www.jst.com/wp-content/uploads/2021/01/eSH1.pdf,,,commodity,yes
J3,SM02B-SRSS-TB(LF)(SN),JST,SH series 2-pin header — the Qi receiver coil,JST-SH-02,4.25 x 2.9 x 2.9,1.0,2,2,JST_SH_SM02B-SRSS-TB_1x02-1MP_P1.00mm_Horizontal,5.80 x 6.56,https://www.jst.com/wp-content/uploads/2021/01/eSH1.pdf,,,commodity,yes
J5,SM04B-SRSS-TB(LF)(SN),JST,SH series 4-pin header — SWD,JST-SH-04,6.25 x 2.9 x 2.9,1.0,4,4,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,7.80 x 6.56,https://www.jst.com/wp-content/uploads/2021/01/eSH1.pdf,,,commodity,yes
AE1,2450AT43F0100E,Johanson Technology,2.4 GHz ceramic chip antenna,SMD chip,6.0 x 2.0 x 1.2,,2,2,Johanson_2450AT43F0100_2400-2500Mhz,7.41 x 2.72,https://www.johansontechnology.com/datasheets/2450AT43F0100/2450AT43F0100.pdf,,,commodity,yes
