Value,Package,Quantity per board,Total,References
0.3p C0G,0402,1,7,C11
0R,0402,1,7,R12
1.2k 1%,0402,1,7,R11
1.5p NP0,0402,1,7,C6
100R 1%,0402,1,7,R21
100k 1%,0402,17,87,R13 R60 R61 R62 R63 R64 R65 R66 R67 R68 R69 R70 R71 R72 R73 R74 R75
100n X7R,0402,11,57,C4 C50 C51 C52 C61 C62 C63 C64 C7 C8 C9
10k 1%,0402,4,22,R2 R22 R3 R5
10n X7R,0402,2,12,C82 C83
10u X5R 25V,0603,1,7,C88
10u X5R 6.3V,0402,3,17,C40 C41 C42
10u X6S 6.3V,0402,1,7,C3
1M 1%,0402,1,7,R4
1k 1%,0402,1,7,R6
1u X5R,0402,13,67,C20 C21 C22 C23 C30 C31 C32 C33 C43 C44 C45 C46 C60
2.2n X7R,0402,1,7,C5
2.2u 1.2A,0603,2,12,L3 L4
2.2u X6T 2.5V,0402,2,12,C1 C2
2.7n,0402,1,7,L2
220R 1%,0402,1,7,R20
220n C0G (Cs),0603,1,7,C80
2n2 C0G (Cd),0402,1,7,C81
4.7k 1%,0402,2,12,R7 R8
4.7u 120mA,0603,1,7,L1
470n X7R 25V,0603,2,12,C84 C85
47n X7R,0402,2,12,C86 C87
6.8k 1%,0402,1,7,R10
8.2k 1%,0402,6,32,R40 R41 R42 R43 R44 R45
8p NP0,0402,4,22,C24 C25 C34 C35
