ref,mpn,manufacturer,description,package,body_mm,pitch_mm,datasheet_pins,footprint_pads,footprint,courtyard_mm,datasheet,archived_pdf,usd,availability,agrees
U1,NRF54LM20B-QGAA-R7,Nordic Semiconductor,"Cortex-M33 wireless SoC, Bluetooth LE, Axon NPU, 512 kB RAM",QFN52,6.0 x 6.0 x 0.85,0.4,52,49,QFN-48-1EP_6x6mm_P0.4mm_EP4.6x4.6mm,7.54 x 7.20,https://www.nordicsemi.com/Products/nRF54LM20B,,,DigiKey lists it; not priced here,NO
U2,A121-001-T&R,Acconeer,"60 GHz pulsed coherent radar, antenna in package, SPI",fcCSP50,5.2 x 5.5 x 0.88,0.5,50,41,QFN-40-1EP_5x5mm_P0.4mm_EP3.8x3.8mm,6.60 x 6.26,https://developer.acconeer.com/download/a121-datasheet,A121_acconeer.pdf,,distributor stock not verified,NO
U3,NPM1300-QEAA-R7,Nordic Semiconductor,"PMIC: 800 mA charger with NTC/JEITA, fuel gauge, 2 bucks, 2 LDOs",QFN32,5.0 x 5.0 x 0.9,0.5,32,25,QFN-24-1EP_4x4mm_P0.5mm_EP2.8x2.8mm,5.60 x 5.26,https://download.mikroe.com/documents/datasheets/nPM1300_datasheet.pdf,nPM1300_nordic.pdf,1.66,"LCSC C7501206, $1.75/1, $1.66/100, OUT OF STOCK 2026-08-30; LCSC lists the package as QFN-32-EP(5x5), which confirms it",NO
U4,BMI270,Bosch Sensortec,"6-axis IMU, 14-pin LGA",LGA-14,2.5 x 3.0 x 0.83,0.5,14,14,Bosch_LGA-14_3x2.5mm_P0.5mm,3.81 x 3.31,https://www.bosch-sensortec.com/media/boschsensortec/downloads/datasheets/bst-bmi270-ds000.pdf,BMI270_bosch.pdf,,"commodity, widely stocked",yes
U5,DRV5032FBDBZR,Texas Instruments,"Omnipolar digital Hall latch, 1.65-5.5 V, ~540 nA average",SOT-23-3,2.92 x 2.37 x 1.12,0.95,3,3,SOT-23,3.86 x 3.40,https://www.ti.com/lit/ds/symlink/drv5032.pdf,DRV5032_ti.pdf,,"commodity, widely stocked",yes
Y1,ABM8-32.000MHZ-B2-T,Abracon,"32 MHz crystal, 3.2 x 2.5 mm, 4-pad SMD",SMD-3225-4,3.2 x 2.5 x 0.8,,4,4,Crystal_SMD_3225-4Pin_3.2x2.5mm,4.20 x 3.50,https://abracon.com/Resonators/ABM8.pdf,,,,yes
J1,FH12-10S-0.5SH(55),Hirose,"FFC/FPC connector, 10 way, 0.5 mm pitch, horizontal, bottom contact",FH12-10S,9.4 x 4.3 x 1.0,0.5,10,10,Hirose_FH12-10S-0.5SH_1x10-1MP_P0.50mm_Horizontal,11.12 x 7.90,https://www.hirose.com/product/p/CL0580-1163-2-55,,,,yes
J4,FH12-24S-0.5SH(55),Hirose,"FFC/FPC connector, 24 way, 0.5 mm pitch, horizontal",FH12-24S,16.4 x 4.3 x 1.0,0.5,24,24,Hirose_FH12-24S-0.5SH_1x24-1MP_P0.50mm_Horizontal,18.10 x 7.90,https://www.hirose.com/product/p/CL0580-1173-6-55,,,,yes
J2,SM02B-SRSS-TB(LF)(SN),JST,"SH series 2-pin 1.0 mm header, top entry — battery",JST-SH-02,4.25 x 2.9 x 2.9,1.0,2,2,JST_SH_SM02B-SRSS-TB_1x02-1MP_P1.00mm_Horizontal,5.80 x 6.56,https://www.jst.com/wp-content/uploads/2021/01/eSH1.pdf,,,,yes
J3,SM02B-SRSS-TB(LF)(SN),JST,SH series 2-pin 1.0 mm header — Qi coil,JST-SH-02,4.25 x 2.9 x 2.9,1.0,2,2,JST_SH_SM02B-SRSS-TB_1x02-1MP_P1.00mm_Horizontal,5.80 x 6.56,https://www.jst.com/wp-content/uploads/2021/01/eSH1.pdf,,,,yes
J5,SM04B-SRSS-TB(LF)(SN),JST,SH series 4-pin 1.0 mm header — SWD,JST-SH-04,6.25 x 2.9 x 2.9,1.0,4,4,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,7.80 x 6.56,https://www.jst.com/wp-content/uploads/2021/01/eSH1.pdf,,,,yes
AE1,2450AT43F0100E,Johanson Technology,"2.4 GHz ceramic chip antenna, 3.2 x 1.6 x 1.3 mm",0402-style chip,3.2 x 1.6 x 1.3,,2,2,Johanson_2450AT43F0100_2400-2500Mhz,7.41 x 2.72,https://www.johansontechnology.com/datasheets/2450AT43F0100/2450AT43F0100.pdf,,,,yes
